"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"117",2001,"093512","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",19.39,NA,2002-07-02,2002-07-02,24853,0,24853,"YOUNGS R & BAY","2002"
"118",2011,"090571","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",4.54,NA,2012-05-18,2012-05-18,171083,0,171083,"TANNER CR (BNVILLE)","2012"
"119",2010,"090486","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",5.65,NA,2011-05-25,2011-05-25,170842,0,170842,"TANNER CR (BNVILLE)","2011"
"120",2007,"090142","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",14.33,NA,2008-07-21,2008-07-27,29903,116,30019,"KLASKANINE R S FK","2008"
"121",2001,"631418",NA,"Chinook","Fall","LEWIS R      27.0168","LOCR",1.51,NA,2002-06-05,2002-07-03,48136,0,48136,"LEWIS R      27.0168","2002"
"122",2004,"632990",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",1.51,NA,2005-06-10,2005-07-05,27363,0,27363,"LEWIS R      27.0168","2005"
"123",2015,"636910",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.38,NA,2016-06-10,2016-06-30,37070,0,37070,"LEWIS R -NF  27.0168","2016"
"124",2018,"090597","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.57,NA,2019-05-15,2019-05-18,54084,0,54084,"KLASKANINE R N FK","2019"
"125",2018,"091284","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",7.29,NA,2019-07-16,2019-08-21,36521,0,36521,"KLASKANINE R N FK","2019"
"126",2006,"633789",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",8.72,NA,2007-05-01,2007-06-06,8150,0,8150,"COWLITZ R    26.0002","2007"
"127",2011,"090595","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",13.26,NA,2012-07-07,2012-07-10,31299,0,31299,"KLASKANINE R S FK","2012"
"128",2000,"093251","N BONNEVILLE LADDER","Chinook","Fall","BONNEVILLE LADDER","LOCR",2.02,NA,2001-05-02,2001-06-08,9923,0,9923,"COLUMBIA R-2","2001"
"129",2001,"631406","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.38,81,2002-06-18,2002-06-21,89776,171,89947,"KALAMA R     27.0002","2002"
"130",2014,"090948","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",44.91,NA,2016-02-26,2016-02-26,26210,0,26210,"TANNER CR (BNVILLE)","2016"
"131",2005,"094329","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",29.74,NA,2006-07-06,2006-07-06,24942,0,24942,"YOUNGS R & BAY","2006"
"132",2004,"092101","BIG CR HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",23.72,NA,2005-08-20,2005-08-27,29321,99,29420,"KLASKANINE R N FK","2005"
"133",2005,"633287","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",8.09,88,2006-06-19,2006-07-10,178376,0,178376,"COWLITZ R    26.0002","2006"
"134",2004,"632475","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",9.33,95,2005-06-10,2005-07-06,100265,0,100265,"WASHOUGAL R  28.0159","2005"
"135",2000,"630877","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",10.3,96,2001-06-06,2001-07-03,92798,476,93274,"WASHOUGAL R  28.0159","2001"
"136",2003,"631567","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",9.58,95,2004-06-10,2004-07-07,45219,0,45219,"WASHOUGAL R  28.0159","2004"
"137",2007,"634369","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",6.97,84,2008-07-01,2008-07-05,96695,977,97672,"WASHOUGAL R  28.0159","2008"
"138",2015,"636969","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.89,78,2016-06-15,2016-06-27,1093023,0,1093023,"COWLITZ R    26.0002","2016"
